Blue_Team,Red_Team,Blue_Utility,Red_Utility,BS1,BS2,BS3,BS4,BS5,RS1,RS2,RS3,RS4,RS5,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5
Team Vitality,Team BDS,27.51412837500468,13.233956347001495,Gnar,Tahm Kench,Trundle,Ahri,Xayah,Twitch,Ryze,Jarvan IV,Wukong,Braum,Xin Zhao,Aphelios,Ezreal,LeBlanc,Jinx,Lucian,Kalista,Draven,Sivir,Zeri
Rogue,MAD Lions,31.713907404355187,19.214501992711853,Jarvan IV,Ornn,Aphelios,Azir,Nami,Rakan,Gwen,Jhin,Taliyah,Renekton,Nautilus,Jinx,Zeri,Lee Sin,Wukong,Lucian,Kalista,Draven,Sivir,Twitch
Rogue,Team Vitality,32.95755262287097,19.201037556547114,Jarvan IV,Ornn,Rakan,Azir,Caitlyn,Sivir,Gangplank,Corki,Nautilus,Viego,Gnar,Aphelios,Tahm Kench,Xin Zhao,Trundle,Kalista,Jinx,Draven,Lucian,Zeri
Rogue,SK Gaming,30.558682839264552,18.312739222821225,Jarvan IV,Ornn,Aphelios,Azir,Nami,Renata Glasc,Lee Sin,Gnar,Samira,Viktor,Jinx,Nautilus,Leona,LeBlanc,Rakan,Zeri,Lucian,Draven,Karthus,Kalista
Rogue,Excel Esports,31.964978097870247,20.41480907192106,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Viego,Lissandra,Sejuani,Nautilus,Nilah,Jinx,Xin Zhao,Wukong,Yuumi,Gwen,Kalista,Zeri,Lucian,Karthus,Twitch
Rogue,G2 Esports,31.448821701967436,20.021383999300525,Ornn,Azir,Trundle,Nami,Caitlyn,Kalista,Rakan,Gnar,Yasuo,Wukong,Ahri,Jarvan IV,Aphelios,Sylas,Gwen,Zeri,Jinx,Draven,Lucian,Twitch
Rogue,Astralis,31.519426807258853,19.76819739657457,Jarvan IV,Rakan,Azir,Gnar,Caitlyn,Jinx,Ornn,Nautilus,Sylas,Wukong,Vex,Viego,Trundle,Leona,Graves,Lucian,Zeri,Aphelios,Sivir,Karthus
Rogue,Misfits Gaming,33.58515041993624,19.67743708081852,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Gwen,Corki,Nautilus,Renekton,Aatrox,Lee Sin,Leona,Jinx,Sylas,Gnar,Lucian,Zeri,Draven,Kalista,Sivir
Rogue,Fnatic,33.57208723441562,22.009382979409427,Jarvan IV,Ornn,Rakan,Azir,Caitlyn,Twisted Fate,Sivir,Nautilus,Volibear,Aatrox,Viego,Aphelios,Trundle,Gwen,LeBlanc,Zeri,Lucian,Jinx,Kalista,Twitch
Rogue,Team BDS,29.560565366157412,18.34013897621217,Jarvan IV,Ornn,Rakan,Azir,Caitlyn,Viego,Jinx,Wukong,Nautilus,Irelia,Xin Zhao,Aphelios,Ezreal,LeBlanc,Karma,Zeri,Kalista,Draven,Karthus,Lucian
